lib-block-v1:Beatrix-techCBSEtype@problem+block@Mathematics_09_1,CBSE,9,Mathematics,areas-of-parallelograms-and-triangles,,1,3,-1,SMCQ,,"
<p>A parallelogram has sides 12 cm and 9 cm. If the distance between its shorter sides is 8 cm, find the distance between its longer side. </p>
",<p>6 cm</p>,<p>8 cm</p>,<p>12 cm</p>,<p>4 cm</p>,1,0,0,0,"
<h3>Solution:</h3>
<p>Adjacent sides of parallelogram = 12 cm and 9 cm <br/>
Distance between shorter sides = 8 cm <br/>
Area of parallelogram = b × h <br/>
                                     = 9 × 8 cm²<br/>
                                     = 72 cm² <br/>
<br/>
Again, area of parallelogram = b × h <br/>
⇒ 72 = 12 × h <br/>
⇒ h = 72/12 <br/>
⇒ h = 6 cm <br/>
Therefore, the distance between its longer side = 6 cm. </p> "
lib-block-v1:Beatrix-techCBSEtype@problem+block@Mathematics_09_2,CBSE,9,Mathematics,areas-of-parallelograms-and-triangles,,1,3,-1,SMCQ,,"
<p>Find the base of the parallelogram whose height is four times that of the base and whose area is 576 sq. cm</p>
",<p>22 cm</p>,<p>17 cm</p>,<p>12 cm</p>,<p>24 cm</p>,0,0,1,0,"
<h3>Solution:</h3>
<p>The area of a parallelogram is 576 cm<sup>2</sup><br/>
Let b be the base of the parallelogram.<br/>
The length of the height is four times the base<br/>
The height of the parallelogram = 4 × b<br/>
The area of the parallelogram = base × height<br/>
                                                = b × 4b = 4b<sup>2</sup><br/>
 4 × b<sup>2</sup> = 576<br/>
 b<sup>2</sup> = 144<br/>
 b = 12 cm</p>
<p>The base of the parallelogram is 12 cm</p> "
lib-block-v1:Beatrix-techCBSEtype@problem+block@Mathematics_09_3,CBSE,9,Mathematics,areas-of-parallelograms-and-triangles,,1,3,-1,SMCQ,,"
<p>If AD is median of <span class=""math-tex"">\(\triangle\)</span>ABC and P is a point on AC such that ar( <span class=""math-tex"">\(\triangle\)</span>ADP) : ar( <span class=""math-tex"">\(\triangle\)</span>ABD)=2:3, then ar( <span class=""math-tex"">\(\triangle\)</span>PDC) : ar( <span class=""math-tex"">\(\triangle\)</span>ABC) is</p>
<div style=""margin-top:15px;""><img class=""quesimg"" src=""https://s3-ap-southeast-1.amazonaws.com/mpt15awshkbkt1/testhub_images/india/qdescimage_1517291145.jpg"" style=""width:200px""/></div>
",<p>1 : 6</p>,<p>2 : 5</p>,<p>1 : 5</p>,<p>3 : 5</p>,1,0,0,0,Non
lib-block-v1:Beatrix-techCBSEtype@problem+block@Mathematics_09_4,CBSE,9,Mathematics,areas-of-parallelograms-and-triangles,,1,3,-1,SMCQ,,"
<p>A hall measures 18 feet long and 10 feet wide. If the width of the hall is doubled, what would be the area of the new hall?</p>
",<p>34 square feet         </p>,<p>140 square feet</p>,<p>24 square feet         </p>,<p>360 square feet</p>,0,0,0,1,"
<h3>Solution:</h3>
<p>If the width of the hall is doubled, then the new width = 2 x 10 feet<br/>
                                                            = 20 feet<br/>
Area of the new hall = 18 feet x 20 feet<br/>
                                    = 360 square feet.<br/>
So, the new area of the hall is 360 square feet.</p> "
lib-block-v1:Beatrix-techCBSEtype@problem+block@Mathematics_09_5,CBSE,9,Mathematics,areas-of-parallelograms-and-triangles,,1,3,-1,SMCQ,,"
<p>Diagonals AC and BD of trapezium ABCD in which AB||DC, intersect each other at O. The triangle which is equal in area to triangle AOD is</p>
<div style=""margin-top:15px;""><img class=""quesimg"" src=""https://s3-ap-southeast-1.amazonaws.com/mpt15awshkbkt1/testhub_images/india/qdescimage_1517293407.jpg"" style=""width:200px""/></div>
",<p><span class="math-tex">\(\triangle\)</span>AOB</p>,<p><span class="math-tex">\(\triangle\)</span>AOB</p>,<p><span class="math-tex">\(\triangle\)</span>DOC</p>,<p><span class="math-tex">\(\triangle\)</span>BOC</p>,0,0,0,1,Non
lib-block-v1:Beatrix-techCBSEtype@problem+block@Mathematics_09_6,CBSE,9,Mathematics,areas-of-parallelograms-and-triangles,,1,3,-1,SMCQ,,"
<p>Find the of parallelogram, base = 7 m and height = 24 m</p>
",<p>168 sq. m</p>,<p>172 sq. m     </p>,<p>164 sq. m</p>,<p>none of these</p>,1,0,0,0,"
<h3>Solution:</h3>
<p>Area of the parallelogram = base x height<br/>
                        = 7 x 24<br/>
                        = 168 sq. m</p> "
lib-block-v1:Beatrix-techCBSEtype@problem+block@Mathematics_09_7,CBSE,9,Mathematics,areas-of-parallelograms-and-triangles,,1,3,-1,SMCQ,,"
<p>In the figure if area of parallelogram ABCD is 30<span class=""math-tex"">\(cm^2\)</span>, then ar(ADE)+ar(BCE)is equal to</p>
<div style=""margin-top:15px;""><img class=""quesimg"" src=""https://s3-ap-southeast-1.amazonaws.com/mpt15awshkbkt1/testhub_images/india/qdescimage_1517291860.jpg"" style=""width:200px""/></div>
",<p>25<span class="math-tex">\(cm^2\)</span></p>,<p>30<span class="math-tex">\(cm^2\)</span></p>,<p>15<span class="math-tex">\(cm^2\)</span></p>,<p>20<span class="math-tex">\(cm^2\)</span></p>,0,0,1,0,Non
lib-block-v1:Beatrix-techCBSEtype@problem+block@Mathematics_09_8,CBSE,9,Mathematics,areas-of-parallelograms-and-triangles,,1,3,-1,SMCQ,,"
<p>A swimming rectangular pool measures 15 feet wide and 25 feet long. If we double the length of the pool, by how many square feet will its area increase?</p>
",<p>375 square feet</p>,<p>800 square feet</p>,<p>750 square feet      </p>,<p>400 square feet</p>,1,0,0,0,"
<h3>Solution:</h3>
<p>Area of a rectangle = length × width<br/>
                                                = 25 feet x 15 feet<br/>
                                                = 375 square feet.<br/>
If the length of the pool is doubled, then the new length = 2 x 25 feet = 50 feet<br/>
New area of the pool = new length x width<br/>
                                    = 50 feet x 15 feet<br/>
                                    = 750 square feet</p>
<p>Difference between the two areas = 750 square feet - 375 square feet<br/>
                                                            = 375 square feet.</p>
<p>If the length of the swimming pool is doubled, the area increases by 375 square feet.</p> "
lib-block-v1:Beatrix-techCBSEtype@problem+block@Mathematics_09_9,CBSE,9,Mathematics,areas-of-parallelograms-and-triangles,,1,3,-1,SMCQ,,"
<p>The figure obtained by joining the mid-points of the adjacent sides of a rectangle of sides 8 cm and 6 cm is</p>
",<p>a rhombus of area 24 <span class="math-tex">\(cm^2\)</span></p>,<p>a trapezium of area 14 <span class="math-tex">\(cm^2\)</span></p>,<p>a rectangle of area 24 <span class="math-tex">\(cm^2\)</span></p>,<p>a square of area 26 <span class="math-tex">\(cm^2\)</span></p>,1,0,0,0,Non
lib-block-v1:Beatrix-techCBSEtype@problem+block@Mathematics_09_10,CBSE,9,Mathematics,areas-of-parallelograms-and-triangles,,1,3,-1,SMCQ,,"
<p>In the fig. ABCD is a rectangle with sides AB = 8 cm and AD = 5 cm. Find the area of the triangle EFG</p>
<div style=""margin-top:15px;""><img class=""quesimg"" src=""https://s3-ap-southeast-1.amazonaws.com/mpt15awshkbkt1/testhub_images/india/qdescimage_1531461909.jpg"" style=""width:200px""/></div>
",<p>40 sq.cm</p>,<p>38 sq. cm      </p>,<p>36 sq.cm</p>,<p>20 sq.cm</p>,0,0,0,1,"
<h3>Solution:</h3>
<p>Area of parallelogram ABEF = area of rectangle ABCD<br/>
                        [on the same base AB and between the same parallels AB and DE]<br/>
 = 8 × 5 sq. cm<br/>
  = 40 sq. cm<br/>
area of triangle = ½ area of parallelogram ABEF<br/>
                        [on the same base FE and between the same parallels FE and AG]<br/>
                        = ½ × 40<br/>
                        = 20 sq. cm</p> "
